unit,unit_type_code,unit_type,branch,dvc_ic,status
HUBAGG,1,HUB,AGG,AGGVC,active
HUBKGG01,1,HUB,AGG,AGGVC,active
HUBKGG02,1,HUB,AGG,AGGVC,deactivate
HUBBGG,1,HUB,BNH,BNHVC,active
HUBBNH,1,HUB,BNH,BNHVC,active
HUBCBG,1,HUB,CBG,CBGVC,active
HUBBLU,1,HUB,CMU,CMUVC,active
HUBCMU,1,HUB,CMU,CMUVC,active
HUBCTO,1,HUB,CTO,CTOVC,active
HUBSTG,1,HUB,CTO,CTOVC,active
HUBDBN,1,HUB,DBN,DBNVC,active
HUBDLK,1,HUB,DLK,DLKVC1,active
HUBPYN,1,HUB,DLK,DLKVC1,active
HUBDNG,1,HUB,DNG,DNGVC,active
HUBQNM,1,HUB,DNG,DNGVC,active
HUBBPC,1,HUB,DNI,DNIVC,active
HUBDNI,1,HUB,DNI,DNIVC,active
HUBDTP,1,HUB,DTP,DTPVC,active
HUBTGG,1,HUB,DTP,DTPVC,active
HUBBHD,1,HUB,GLI,GLIVC1,active
HUBGLI,1,HUB,GLI,GLIVC1,active
HUBBDG,1,HUB,HCM,HCMVC,active
HUBHCM,1,HUB,HCM,HCMVC,active
HUBTAN,1,HUB,HCM,HCMVC,active
HUBTTO,1,HUB,HCM,HCMVC,active
HUBVTU,1,HUB,HCM,HCMVC,active
BBSDPG,1,HUB,HNI,HNVC,active
HUBHNI,1,HUB,HNI,HNVC,active
HUBLBN,1,HUB,HNI,HNVC,active
HUBTTI,1,HUB,HNI,HNVC,active
HUBYAN,1,HUB,HNI,HNVC,active
HUBHDG,1,HUB,HPG,HPGVC,active
HUBHPG,1,HUB,HPG,HPGVC,active
HUBHTH,1,HUB,HTH,HTHVC,active
HUBHUE,1,HUB,HUE,HUEVC,active
HUBHYN,1,HUB,HYN,HYNVC,active
HUBTBH,1,HUB,HYN,HYNVC,active
HUBKHA,1,HUB,KHA,KHAVC,active
HUBNTN,1,HUB,KHA,KHAVC,active
HUBLCI01,1,HUB,LCI,LCIVC,active
HUBLCI02,1,HUB,LCI,LCIVC,deactivate
HUBYBN,1,HUB,LCI,LCIVC,active
HUBLCU,1,HUB,LCU,LCUVC,active
HUBBTN,1,HUB,LDG,LDGVC,active
HUBDKG,1,HUB,LDG,LDGVC,active
HUBLDG01,1,HUB,LDG,LDGVC,active
HUBLDG02,1,HUB,LDG,LDGVC,deactivate
HUBLDG03,1,HUB,LDG,LDGVC,active
HUBLSN,1,HUB,LSN,LSNVC,active
HUBNAN,1,HUB,NAN,NANVC,active
HUBHNM,1,HUB,NBH,NBHVC,active
HUBNBH,1,HUB,NBH,NBHVC,active
HUBNDH,1,HUB,NBH,NBHVC,active
HUBHBH,1,HUB,PHO,PHOVC,active
HUBPHO,1,HUB,PHO,PHOVC,active
HUBVPC,1,HUB,PHO,PHOVC,active
HUBQNH,1,HUB,QNH,QNHVC,active
HUBKTM,1,HUB,QNI,QNIVC,active
HUBQNI,1,HUB,QNI,QNIVC,active
HUBQBH,1,HUB,QTI,QTIVC,active
HUBQTI,1,HUB,QTI,QTIVC,active
HUBSLA,1,HUB,SLA,SLAVC,active
HUBTHA,1,HUB,THA,THAVC,active
HUBLAN,1,HUB,TNH,TNHVC,active
HUBTNH,1,HUB,TNH,TNHVC,active
HUBBKN,1,HUB,TNN,TNNVC,active
HUBTNN,1,HUB,TNN,TNNVC,active
HUBHGG,1,HUB,TQG,TQGVC,active
HUBTQG,1,HUB,TQG,TQGVC,active
HUBBTE,1,HUB,VLG,VLGVC,active
HUBTVH,1,HUB,VLG,VLGVC,active
HUBVLG,1,HUB,VLG,VLGVC,active
TTKT1,2,MegaHUB,CNKT1,DVCLOG,active
TTKT2,2,MegaHUB,CNKT2,DVCLOG,active
DCCNKT3,2,MegaHUB,CNKT3,DVCLOG,active
LOGTDC,2,MegaHUB,CNKT3,DVCLOG,active
TTKT3,2,MegaHUB,CNKT3,DVCLOG,active
TTKT3K2,2,MegaHUB,CNKT3,DVCLOG,active
TTKT4,2,MegaHUB,CNKT4,DVCLOG,active
LOGBN,2,MegaHUB,CNKT5,DVCLOG,active
TTKT5,2,MegaHUB,CNKT5,DVCLOG,active
AGGVC,3,DVC,AGG,AGGVC,active
BNHVC,3,DVC,BNH,BNHVC,active
CMUVC,3,DVC,CMU,CMUVC,active
CTOVC,3,DVC,CTO,CTOVC,active
DBNVC,3,DVC,DBN,DBNVC,active
DLKVC1,3,DVC,DLK,DLKVC1,active
DNGVC,3,DVC,DNG,DNGVC,active
DNIVC,3,DVC,DNI,DNIVC,active
DTPVC,3,DVC,DTP,DTPVC,active
GLIVC1,3,DVC,GLI,GLIVC1,active
HCMVC,3,DVC,HCM,HCMVC,active
HNVC,3,DVC,HNI,HNVC,active
HPGVC,3,DVC,HPG,HPGVC,active
HTHVC,3,DVC,HTH,HTHVC,active
HUEVC,3,DVC,HUE,HUEVC,active
HYNVC,3,DVC,HYN,HYNVC,active
KHAVC,3,DVC,KHA,KHAVC,active
LCIVC,3,DVC,LCI,LCIVC,active
LCUVC,3,DVC,LCU,LCUVC,active
LDGVC,3,DVC,LDG,LDGVC,active
LSNVC,3,DVC,LSN,LSNVC,active
NANVC,3,DVC,NAN,NANVC,active
NBHVC,3,DVC,NBH,NBHVC,active
PHOVC,3,DVC,PHO,PHOVC,active
QNHVC,3,DVC,QNH,QNHVC,active
QNIVC,3,DVC,QNI,QNIVC,active
QTIVC,3,DVC,QTI,QTIVC,active
SLAVC,3,DVC,SLA,SLAVC,active
THAVC,3,DVC,THA,THAVC,active
TNHVC,3,DVC,TNH,TNHVC,active
TNNVC,3,DVC,TNN,TNNVC,active
TQGVC,3,DVC,TQG,TQGVC,active
VLGVC,3,DVC,VLG,VLGVC,active
DVCHN,4,DVC_NM,CNKT1,DVCLOG,active
DVCMTG,4,DVC_NM,CNKT2,DVCLOG,active
DVCMNM,4,DVC_NM,CNKT3,DVCLOG,active
DVCTNB,4,DVC_NM,CNKT3,DVCLOG,active
DVCMBC,4,DVC_NM,CNKT5,DVCLOG,active
DTNBN1,4,DVC_LM,LOG,DVCLOG,active
DVCBN1,4,DVC_LM,LOG,DVCLOG,active
DVCBN2,4,DVC_LM,LOG,DVCLOG,active
DVCBN3,4,DVC_LM,LOG,DVCLOG,active
DVCBN4,4,DVC_LM,LOG,DVCLOG,active
