kpi_name,kpi_id,branch,unit,date,year,month,day,numerator,denominator
Tỷ lệ xuất sạch,3,AGG,HUBAGG,2026-07-03,2026,7,3,23200.0,23926.0
Tỷ lệ xuất sạch,3,AGG,HUBAGG,2026-07-01,2026,7,1,22382.0,23051.0
Tỷ lệ xuất sạch,3,DLK,HUBDLK,2026-07-08,2026,7,8,28546.0,29302.0
Tỷ lệ xuất sạch,3,DLK,HUBPYN,2026-07-01,2026,7,1,8285.0,8309.0
Tỷ lệ xuất sạch,3,PHO,HUBHBH,2026-07-06,2026,7,6,8509.0,9523.0
Tỷ lệ xuất sạch,3,HNI,HUBYAN,2026-07-11,2026,7,11,40722.0,42576.0
Tỷ lệ xuất sạch,3,TNH,HUBTNH,2026-07-04,2026,7,4,21272.0,21810.0
Tỷ lệ xuất sạch,3,CTO,HUBSTG,2026-07-13,2026,7,13,10623.0,11519.0
Tỷ lệ xuất sạch,3,HNI,HUBTTI,2026-07-11,2026,7,11,55815.0,59436.0
Tỷ lệ xuất sạch,3,PHO,HUBVPC,2026-07-09,2026,7,9,16121.0,17098.0
Tỷ lệ xuất sạch,3,NBH,HUBHNM,2026-07-02,2026,7,2,14739.0,16320.0
Tỷ lệ xuất sạch,3,HCM,HUBTTO,2026-07-06,2026,7,6,26031.0,27181.0
Tỷ lệ xuất sạch,3,QTI,HUBQTI,2026-07-08,2026,7,8,8634.0,9043.0
Tỷ lệ xuất sạch,3,CMU,HUBCMU,2026-07-13,2026,7,13,15683.0,18070.0
Tỷ lệ xuất sạch,3,HPG,HUBHDG,2026-07-01,2026,7,1,24189.0,24450.0
Tỷ lệ xuất sạch,3,NBH,HUBNBH,2026-07-05,2026,7,5,14310.0,14821.0
Tỷ lệ xuất sạch,3,TQG,HUBHGG,2026-07-11,2026,7,11,1626.0,1752.0
Tỷ lệ xuất sạch,3,DLK,HUBPYN,2026-07-13,2026,7,13,8664.0,8723.0
Tỷ lệ xuất sạch,3,PHO,HUBHBH,2026-07-11,2026,7,11,10353.0,11410.0
Tỷ lệ xuất sạch,3,HPG,HUBHPG,2026-07-13,2026,7,13,25685.0,25904.0
Tỷ lệ xuất sạch,3,DNG,HUBQNM,2026-07-04,2026,7,4,14935.0,15073.0
Tỷ lệ xuất sạch,3,DLK,HUBPYN,2026-07-05,2026,7,5,10932.0,10949.0
Tỷ lệ xuất sạch,3,HPG,HUBHPG,2026-07-09,2026,7,9,33310.0,35792.0
Tỷ lệ xuất sạch,3,TNH,HUBTNH,2026-07-03,2026,7,3,19785.0,20630.0
Tỷ lệ xuất sạch,3,AGG,HUBKGG01,2026-07-09,2026,7,9,21101.0,21467.0
Tỷ lệ xuất sạch,3,CMU,HUBCMU,2026-07-06,2026,7,6,14935.0,17653.0
Tỷ lệ xuất sạch,3,LDG,HUBBTN,2026-07-08,2026,7,8,21897.0,23282.0
Tỷ lệ xuất sạch,3,TNH,HUBLAN,2026-07-11,2026,7,11,24543.0,26143.0
Tỷ lệ xuất sạch,3,HYN,HUBTBH,2026-07-08,2026,7,8,19318.0,20243.0
Tỷ lệ xuất sạch,3,DNI,HUBDNI,2026-07-05,2026,7,5,42698.0,46624.0
