kpi_name,kpi_id,branch,unit,date,year,month,day,numerator,denominator
Tỷ lệ xuất sạch,3,TNH,HUBTNH,2026-06-10,2026,6,10,18676.0,20771.0
Tỷ lệ xuất sạch,3,DBN,HUBDBN,2026-06-10,2026,6,10,1992.0,2004.0
Tỷ lệ xuất sạch,3,KHA,HUBKHA,2026-06-10,2026,6,10,20173.0,21694.0
Tỷ lệ xuất sạch,3,NBH,HUBHNM,2026-06-10,2026,6,10,15259.0,16674.0
Tỷ lệ xuất sạch,3,CTO,HUBSTG,2026-06-10,2026,6,10,11409.0,11573.0
Tỷ lệ xuất sạch,3,QNI,HUBQNI,2026-06-10,2026,6,10,12875.0,13002.0
Tỷ lệ xuất sạch,3,LDG,HUBBTN,2026-06-10,2026,6,10,19388.0,21055.0
Tỷ lệ xuất sạch,3,HYN,HUBTBH,2026-06-10,2026,6,10,21004.0,21219.0
Tỷ lệ xuất sạch,3,PHO,HUBPHO,2026-06-10,2026,6,10,17929.0,19417.0
Tỷ lệ xuất sạch,3,DNG,HUBQNM,2026-06-10,2026,6,10,15185.0,16253.0
Tỷ lệ xuất sạch,3,QTI,HUBQBH,2026-06-10,2026,6,10,9251.0,9813.0
Tỷ lệ xuất sạch,3,CBG,HUBCBG,2026-06-10,2026,6,10,1394.0,1480.0
Tỷ lệ xuất sạch,3,QTI,HUBQTI,2026-06-10,2026,6,10,7529.0,7748.0
Tỷ lệ xuất sạch,3,PHO,HUBHBH,2026-06-10,2026,6,10,8104.0,11241.0
Tỷ lệ xuất sạch,3,HUE,HUBHUE,2026-06-10,2026,6,10,19146.0,20372.0
Tỷ lệ xuất sạch,3,AGG,HUBAGG,2026-06-10,2026,6,10,20105.0,23762.0
Tỷ lệ xuất sạch,3,THA,HUBTHA,2026-06-10,2026,6,10,42653.0,45121.0
Tỷ lệ xuất sạch,3,TNH,HUBLAN,2026-06-10,2026,6,10,23754.0,30821.0
Tỷ lệ xuất sạch,3,SLA,HUBSLA,2026-06-10,2026,6,10,586.0,687.0
Tỷ lệ xuất sạch,3,VLG,HUBBTE,2026-06-10,2026,6,10,15998.0,19600.0
Tỷ lệ xuất sạch,3,LDG,HUBLDG01,2026-06-10,2026,6,10,11079.0,11893.0
Tỷ lệ xuất sạch,3,LCI,HUBYBN,2026-06-10,2026,6,10,6871.0,8186.0
Tỷ lệ xuất sạch,3,BNH,HUBBGG,2026-06-10,2026,6,10,23374.0,26618.0
Tỷ lệ xuất sạch,3,GLI,HUBGLI,2026-06-10,2026,6,10,15245.0,18317.0
Tỷ lệ xuất sạch,3,LCU,HUBLCU,2026-06-10,2026,6,10,264.0,264.0
Tỷ lệ xuất sạch,3,HCM,HUBVTU,2026-06-10,2026,6,10,19166.0,21282.0
Tỷ lệ xuất sạch,3,DLK,HUBPYN,2026-06-10,2026,6,10,10495.0,10532.0
Tỷ lệ xuất sạch,3,VLG,HUBTVH,2026-06-10,2026,6,10,10121.0,10152.0
Tỷ lệ xuất sạch,3,LCI,HUBLCI01,2026-06-10,2026,6,10,6736.0,6748.0
Tỷ lệ xuất sạch,3,DLK,HUBDLK,2026-06-10,2026,6,10,24803.0,26955.0
Tỷ lệ xuất sạch,3,PHO,HUBVPC,2026-06-10,2026,6,10,19737.0,21475.0
Tỷ lệ xuất sạch,3,NBH,HUBNDH,2026-06-10,2026,6,10,29275.0,29939.0
Tỷ lệ xuất sạch,3,HPG,HUBHDG,2026-06-10,2026,6,10,26847.0,27198.0
Tỷ lệ xuất sạch,3,AGG,HUBKGG01,2026-06-10,2026,6,10,16407.0,17240.0
Tỷ lệ xuất sạch,3,LDG,HUBLDG03,2026-06-10,2026,6,10,6920.0,7167.0
Tỷ lệ xuất sạch,3,KHA,HUBNTN,2026-06-10,2026,6,10,7245.0,7297.0
Tỷ lệ xuất sạch,3,QNH,HUBQNH,2026-06-10,2026,6,10,21375.0,22369.0
Tỷ lệ xuất sạch,3,NAN,HUBNAN,2026-06-10,2026,6,10,31476.0,32665.0
Tỷ lệ xuất sạch,3,DNG,HUBDNG,2026-06-10,2026,6,10,20158.0,20732.0
Tỷ lệ xuất sạch,3,TNN,HUBTNN,2026-06-10,2026,6,10,18524.0,19013.0
Tỷ lệ xuất sạch,3,CMU,HUBBLU,2026-06-10,2026,6,10,9448.0,9586.0
Tỷ lệ xuất sạch,3,HTH,HUBHTH,2026-06-10,2026,6,10,10298.0,10510.0
Tỷ lệ xuất sạch,3,TQG,HUBTQG,2026-06-10,2026,6,10,5720.0,5795.0
Tỷ lệ xuất sạch,3,QNI,HUBKTM,2026-06-10,2026,6,10,5710.0,5766.0
Tỷ lệ xuất sạch,3,HYN,HUBHYN,2026-06-10,2026,6,10,29658.0,29910.0
Tỷ lệ xuất sạch,3,HCM,HUBTAN,2026-06-10,2026,6,10,22459.0,22523.0
Tỷ lệ xuất sạch,3,NBH,HUBNBH,2026-06-10,2026,6,10,15300.0,15521.0
Tỷ lệ xuất sạch,3,HCM,HUBBDG,2026-06-10,2026,6,10,36972.0,37469.0
Tỷ lệ xuất sạch,3,DNI,HUBBPC,2026-06-10,2026,6,10,20144.0,20363.0
Tỷ lệ xuất sạch,3,DTP,HUBDTP,2026-06-10,2026,6,10,17689.0,18236.0
Tỷ lệ xuất sạch,3,HPG,HUBHPG,2026-06-10,2026,6,10,34318.0,34814.0
Tỷ lệ xuất sạch,3,CMU,HUBCMU,2026-06-10,2026,6,10,15747.0,15776.0
Tỷ lệ xuất sạch,3,DTP,HUBTGG,2026-06-10,2026,6,10,20104.0,21485.0
Tỷ lệ xuất sạch,3,TQG,HUBHGG,2026-06-10,2026,6,10,953.0,1351.0
Tỷ lệ xuất sạch,3,LDG,HUBDKG,2026-06-10,2026,6,10,7751.0,8496.0
Tỷ lệ xuất sạch,3,LSN,HUBLSN,2026-06-10,2026,6,10,6736.0,6901.0
Tỷ lệ xuất sạch,3,TNN,HUBBKN,2026-06-10,2026,6,10,1614.0,1981.0
Tỷ lệ xuất sạch,3,DNI,HUBDNI,2026-06-10,2026,6,10,72670.0,75123.0
Tỷ lệ xuất sạch,3,BNH,HUBBNH,2026-06-10,2026,6,10,36614.0,37275.0
Thời gian chờ nhập,4,DLK,HUBPYN,2026-06-03,2026,6,3,118.85,17.0
Thời gian chờ nhập,4,BNH,HUBBGG,2026-06-09,2026,6,9,522.45,26.0
Thời gian chờ nhập,4,HYN,HUBTBH,2026-06-01,2026,6,1,176.68333333333334,28.0
Thời gian chờ nhập,4,QTI,HUBQTI,2026-06-09,2026,6,9,79.78333333333333,17.0
Thời gian chờ nhập,4,PHO,HUBVPC,2026-06-05,2026,6,5,549.9333333333334,22.0
Thời gian chờ nhập,4,TQG,HUBTQG,2026-06-06,2026,6,6,72.43333333333334,9.0
