year,month,day,unit,branch,previous_inbound_ton,previous_inbound_vol
2026,6,1,BBSDPG,HNI,0.017449,23.0
2026,6,1,DCCNKT3,TTKT3,38.935185,28651.0
2026,6,1,DSKV4,,0.01299,7.0
2026,6,1,DSKV5,,6.098456,598.0
2026,6,1,HBBDHN,,1.009996,315.0
2026,6,1,HBHCTB,,0.5510039999999999,721.0
2026,6,1,HBHCTD,,0.11230699999999999,198.0
2026,6,1,HCM01,,0.5968,862.0
2026,6,1,HCM06,,0.233337,309.0
2026,6,1,HCM10,,0.145401,158.0
2026,6,1,HN01,,0.101865,119.0
2026,6,1,HN02,,1.141222,1269.0
2026,6,1,HN04,,0.6637139999999999,883.0
2026,6,1,HN07,,0.000049999999999999996,1.0
2026,6,1,HN08,,1.300459,1811.0
2026,6,1,HN10,,1.046535,1610.0
2026,6,1,HNIDDA,,0.892681,1437.0
2026,6,1,HNIHKM,,0.7454449999999999,1037.0
2026,6,1,HNM01,,0.21325,9.0
2026,6,1,HUBAGG,AGG,15.721945,5590.0
2026,6,1,HUBBDG,HCM,3.7437206190476187,2081.0
2026,6,1,HUBBGG,BNH,13.596684999999999,5213.0
2026,6,1,HUBBHD,GLI,2.8655809999999997,1081.0
2026,6,1,HUBBKN,TNN,3.0268349999999997,1129.0
2026,6,1,HUBBLU,CMU,6.675424,2314.0
2026,6,1,HUBBNH,BNH,14.809861999999999,6634.0
2026,6,1,HUBBPC,DNI,5.203544,1581.0
2026,6,1,HUBBTE,VLG,5.230581,2759.0
2026,6,1,HUBBTN,LDG,10.718155999999999,2545.0
2026,6,1,HUBCMU,CMU,9.814525,4446.0
2026,6,1,HUBDBN,DBN,1.355154,580.0
2026,6,1,HUBDKG,LDG,6.4519589999999996,2299.0
2026,6,1,HUBDLK,DLK,4.58596,1179.0
2026,6,1,HUBDNG,DNG,3.9195659999999997,3064.0
2026,6,1,HUBDNI,DNI,10.664570666666666,3923.0
2026,6,1,HUBDTP,DTP,11.869409,3845.0
2026,6,1,HUBGLI,GLI,3.039563,820.0
2026,6,1,HUBHBH,PHO,9.733613,2830.0
2026,6,1,HUBHCM,,12.031970999999999,513.0
2026,6,1,HUBHDG,HPG,18.233141,6593.0
2026,6,1,HUBHGG,TQG,2.219951,388.0
2026,6,1,HUBHNI,HNI,2.091946,125.0
2026,6,1,HUBHNM,NBH,6.322559999999999,2424.0
2026,6,1,HUBHPG,HPG,24.96705133333333,7771.0
2026,6,1,HUBHTH,HTH,6.508007999999999,1282.0
2026,6,1,HUBHUE,HUE,6.623605428571428,3546.0
2026,6,1,HUBHYN,HYN,20.695431,5119.0
2026,6,1,HUBKGG01,AGG,15.812903666666665,4691.0
2026,6,1,HUBKGG02,AGG,2.178425,889.0
2026,6,1,HUBKHA,KHA,10.483817666666665,1981.0
2026,6,1,HUBKTM,QNI,0.5948399999999999,50.0
2026,6,1,HUBLAN,TNH,8.164157,4030.0
2026,6,1,HUBLBN,HNI,11.260693,5335.0
2026,6,1,HUBLCI01,LCI,0.0058,2.0
2026,6,1,HUBLDG01,LDG,8.700065,1810.0
2026,6,1,HUBLDG03,LDG,1.905757,148.0
2026,6,1,HUBLSN,LSN,5.894635999999999,1807.0
2026,6,1,HUBNAN,NAN,13.464252,4210.0
2026,6,1,HUBNBH,NBH,8.053516,2642.0
2026,6,1,HUBNDH,NBH,10.996177999999999,3963.0
2026,6,1,HUBNTN,KHA,0.891987,96.0
2026,6,1,HUBPHO,PHO,13.283831999999999,4317.0
2026,6,1,HUBPYN,DLK,4.103677,1015.0
2026,6,1,HUBQBH,QTI,4.857073,770.0
2026,6,1,HUBQNH,QNH,15.416290333333333,4001.0
2026,6,1,HUBQNI,QNI,11.183653999999999,2758.0
2026,6,1,HUBQNM,DNG,9.306256,2523.0
2026,6,1,HUBQTI,QTI,4.718291,829.0
2026,6,1,HUBSTG,CTO,8.147962999999999,3433.0
2026,6,1,HUBTAN,HCM,2.767108,1166.0
2026,6,1,HUBTBH,HYN,16.102016,4451.0
2026,6,1,HUBTGG,DTP,5.883081,3312.0
2026,6,1,HUBTHA,THA,10.583568999999999,3782.0
2026,6,1,HUBTNH,TNH,8.708592,4453.0
2026,6,1,HUBTNN,TNN,7.742241,3536.0
2026,6,1,HUBTQG,TQG,7.795167999999999,2471.0
2026,6,1,HUBTTI,HNI,9.234923,6795.0
2026,6,1,HUBTTO,,14.002049999999999,7926.0
2026,6,1,HUBTVH,VLG,9.575605999999999,2948.0
2026,6,1,HUBVPC,PHO,11.473773,3865.0
2026,6,1,HUBVTU,HCM,11.362988,6031.0
2026,6,1,HUBYAN,HNI,11.711337,3945.0
2026,6,1,HUBYBN,LCI,11.69343,3772.0
2026,6,1,LOGBN,TTKT5,80.825203,17131.0
2026,6,1,LOGTDC,,8.093766,5074.0
2026,6,1,QU8,,0.344385,438.0
2026,6,1,TTDAD,,5.377332,1259.0
2026,6,1,TTKNB,,9.931001499999999,7318.0
2026,6,1,TTKT1,TTKT1,52.871871,23413.0
2026,6,1,TTKT2,TTKT2,53.00156066666666,12173.0
2026,6,1,TTKT3,TTKT3,64.42237433333334,24669.0
2026,6,1,TTKT4,TTKT4,43.347381,13504.0
2026,6,1,TTKT5,TTKT5,123.4584635,56280.0
2026,6,1,TTSGN,,5.457916,5227.0
2026,6,1,TTTK3K2,TTKT3,20.20798733333333,3804.0
2026,6,9,BBSDPG,HNI,1.7386579999999998,1336.0
2026,6,9,DCCNKT3,TTKT3,127.44550983333332,62372.0
2026,6,9,DSBDG,,3.32721,318.0
2026,6,9,DSBGG,,0.19999999999999998,29.0
2026,6,9,DSBNH,,1.205549,85.0
2026,6,9,DSHDG,,1.1197869999999999,93.0
2026,6,9,DSKV3,,18.980401666666666,1268.0
2026,6,9,DSKV4,,0.169549,13.0
2026,6,9,DSKV5,,42.712579,3634.0
2026,6,9,DSVPC,,8.886600999999999,767.0
2026,6,9,HBBDHN,,0.9477329999999999,408.0
2026,6,9,HBHCGV,,1.563049,2896.0
2026,6,9,HBHCTB,,1.572581,2397.0
2026,6,9,HBHCTD,,0.7025049999999999,1059.0
2026,6,9,HCM01,,0.61437,868.0
2026,6,9,HCM04,,0.933568,1273.0
2026,6,9,HCM09,,0.412228,43.0
2026,6,9,HCM12,,0.726027,1101.0
2026,6,9,HCMTTOG,,0.04256,2.0
